coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_m_mumu11,1,-3.387394252648168e-05,0.017283172280956
1,C_lq_p_mumu11,1,-0.0419217770830126,-3.8306433745397e-05
2,C_qe_11mumu,1,-0.0063926935281096,0.0166882627387315
3,C_lu_mumu11,1,-0.0053539648041741,0.0222014946736404
4,C_eu_mumu11,1,-8.899391540063091e-05,0.0277281124964475
5,C_ld_mumu11,1,-0.0263600542745824,0.0145127499141833
6,C_ed_mumu11,1,-0.0325799071619612,0.0080334641056217
7,C_lq_p_mumu22,1,-0.0933838228093024,0.0370334108517769
8,C_qe_22mumu,1,-0.0465405993873984,0.0587303496343852
9,C_ld_mumu22,1,-0.0730183543231989,0.0599063539962083
10,C_ed_mumu22,1,-0.0787805454050102,0.0526528577501656
11,C_lq_m_mumu22,1,-0.0564711476019918,0.1150239186694592
12,C_lu_mumu22,1,-0.0750987131656831,0.09716938094397
13,C_eu_mumu22,1,-0.0642588698600462,0.1076397018972447
14,C_lq_p_mumu33,1,-0.2904106519710219,0.2184643378665378
15,C_qe_33mumu,1,-0.2472920888847424,0.2630244500556009
16,C_ld_mumu33,1,-0.2633782633004644,0.2469452015193002
17,C_ed_mumu33,1,-0.2713029255845977,0.2388224333974762
18,C_lq_m_ee11,1,-0.0157011570475045,-0.0020191044280414
19,C_lq_p_ee11,1,0.0050473561638089,0.0303183137153184
20,C_qe_11ee,1,-0.0204636742206893,-0.0021086401876009
21,C_lu_ee11,1,-0.0215080935416777,-0.0015829304403848
22,C_eu_ee11,1,-0.0189419969373973,-0.0024857907672386
23,C_ld_ee11,2,-0.0457229404662739,-0.0202362282412544
24,C_ed_ee11,1,0.0072477405173132,0.0394366868067241
25,C_lq_p_ee22,1,0.0314422088034559,0.1399311730456975
26,C_qe_22ee,2,-0.1223479199267329,-0.0240136716383662
27,C_ld_ee22,2,-0.1601842045002499,-0.0509366302309865
28,C_ed_ee22,2,-0.1598909528152051,-0.0708723796123462
29,C_lq_m_ee22,1,-0.1864121233835692,-0.0290909486555928
30,C_lu_ee22,2,-0.2013973795042948,-0.0240949282446993
31,C_eu_ee22,2,-0.1928092996156756,-0.0283393373107561
32,C_lq_p_ee33,2,-0.6477957022406171,-0.2710229991074875
33,C_qe_33ee,2,-0.6204733161140441,-0.2155585607514066
34,C_ld_ee33,2,-0.6326462101439385,-0.2321382172287553
35,C_ed_ee33,2,-0.6371450096961352,-0.24301199183981
