coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0136614370676471,0.0127591597165257
1,C_lq_m_ll11,1,-0.0057501299194265,0.004894333741381
2,C_lu_ll11,1,-0.0106825359173636,0.0093858910636174
3,C_eu_ll11,1,-0.0073673540165932,0.0072655948264826
4,C_qe_11ll,1,-0.0108994158543614,0.0177821437895309
5,C_ld_ll11,1,-0.0313254210298203,0.0224482788543738
6,C_ed_ll11,1,-0.0348379406741845,0.0193003683453259
7,C_lq_p_ll22,1,-0.1055030840802868,0.0727845505633672
8,C_lq_m_ll22,1,-0.0964645157823317,0.127222111280182
9,C_lu_ll22,1,-0.1087867071048115,0.1212079592688516
10,C_eu_ll22,1,-0.101642989407526,0.1253177070527176
11,C_qe_22ll,1,-0.0682844895733528,0.0759627589479844
12,C_ld_ll22,1,-0.0964883747813321,0.0877135043439809
13,C_ed_ll22,1,-0.0992933124546457,0.0832562644833382
14,C_lq_p_ll33,1,-0.402175090537073,0.3495400702753621
15,C_qe_33ll,1,-0.3712574436131244,0.3828434806656753
16,C_ld_ll33,1,-0.3830760930177784,0.3710299136287568
17,C_ed_ll33,1,-0.3887231836681701,0.3648809340400942
