coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0178693112809136,0.0133000693674149
1,C_lq_m_ll11,1,-0.0059861729432033,0.0056632089116472
2,C_lu_ll11,1,-0.0120653358313535,0.0173176923446423
3,C_eu_ll11,1,-0.0076264721662773,0.008500792713417
4,C_qe_11ll,1,-0.0120018080061839,0.0180006886724495
5,C_ld_ll11,1,-0.0319011466672512,0.0242497907994417
6,C_ed_ll11,1,-0.0345658139469381,0.0197779966907859
7,C_lq_p_ll22,1,-0.1053973997675772,0.0763885755907322
8,C_lq_m_ll22,1,-0.1002644545522982,0.1268199050932658
9,C_lu_ll22,1,-0.1108315810191758,0.1213641311200074
10,C_eu_ll22,1,-0.1047752102825244,0.1249991307884068
11,C_qe_22ll,1,-0.0707931202244403,0.0772062828506681
12,C_ld_ll22,1,-0.0990196209384469,0.0916734032351018
13,C_ed_ll22,1,-0.1000366686124751,0.0859565158214495
14,C_lq_p_ll33,1,-0.4181458796836917,0.3740710261304517
15,C_qe_33ll,1,-0.3926871911666417,0.4022893412712541
16,C_ld_ll33,1,-0.4025712193383439,0.392418424851888
17,C_ed_ll33,1,-0.4072663234516071,0.3872693408796395
