coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_m_mumu11,1,-0.0012317386239051,0.0013074691883476
1,C_lq_p_mumu11,1,-0.0036145395700387,0.0029613909520091
2,C_qe_11mumu,1,-0.0025825903447971,0.0052990537067467
3,C_lu_mumu11,1,-0.0022149603741093,0.0030873601225068
4,C_eu_mumu11,1,-0.0016418463911024,0.0018598694829916
5,C_ld_mumu11,1,-0.0107043461158878,0.0060877041983153
6,C_ed_mumu11,1,-0.0114434357829774,0.0052420492329803
7,C_lq_p_mumu22,1,-0.0375083632466471,0.0215499336910678
8,C_qe_22mumu,1,-0.0213092005920843,0.0253808845380028
9,C_ld_mumu22,1,-0.0322804832438755,0.0277857338294211
10,C_ed_mumu22,1,-0.0351927998366636,0.0267229940775984
11,C_lq_m_mumu22,1,-0.0271935929073584,0.0447038964138203
12,C_lu_mumu22,1,-0.0332836715762728,0.0404794660594787
13,C_eu_mumu22,1,-0.0296950993807739,0.0433120098138069
14,C_lq_p_mumu33,1,-0.1576971943488943,0.1274910270902389
15,C_qe_33mumu,1,-0.1407836674789838,0.1475505251096957
16,C_ld_mumu33,1,-0.1476909305755703,0.1406285027023106
17,C_ed_mumu33,1,-0.150850345486132,0.1369248817389408
18,C_lq_m_ee11,1,-0.0013894215492804,0.0014809106054662
19,C_lq_p_ee11,1,-0.0040541022133127,0.0033350444324966
20,C_qe_11ee,1,-0.0031064050803568,0.0061618019850975
21,C_lu_ee11,1,-0.002745336903554,0.0043080364605841
22,C_eu_ee11,1,-0.0018513952151361,0.0021060435096156
23,C_ld_ee11,1,-0.0115220661860383,0.0070835639801117
24,C_ed_ee11,1,-0.0113200436406013,0.0058887721661069
25,C_lq_p_ee22,1,-0.0390868352396727,0.0243570399935581
26,C_qe_22ee,1,-0.0239123478212592,0.0276682019368244
27,C_ld_ee22,1,-0.035362303662728,0.0312207308781932
28,C_ed_ee22,1,-0.037761655436508,0.029767895525714
29,C_lq_m_ee22,1,-0.0311339259669426,0.0474710121956615
30,C_lu_ee22,1,-0.0371465380412698,0.0438263632413049
31,C_eu_ee22,1,-0.0336453050190561,0.0463078034759938
32,C_lq_p_ee33,1,-0.1716352912028312,0.1422889060813191
33,C_qe_33ee,1,-0.1554493507979127,0.1620223865330064
34,C_ld_ee33,1,-0.1621597756458149,0.1552957592481978
35,C_ed_ee33,1,-0.1651910969839161,0.1516791662356745
