coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_m_mumu11,1,-0.0014877207128536,0.0016111436126738
1,C_lq_p_mumu11,1,-0.004505817300856,0.0036081720448441
2,C_qe_11mumu,1,-0.0034249604828559,0.005668563691295
3,C_lu_mumu11,1,-0.0030357747817735,0.0042568863141175
4,C_eu_mumu11,1,-0.0019744455422982,0.0023048240100491
5,C_ld_mumu11,1,-0.0114576273045017,0.0077100138756673
6,C_ed_mumu11,1,-0.0120937744155001,0.0062403901285927
7,C_lq_p_mumu22,1,-0.0391969493724792,0.0259095948871645
8,C_qe_22mumu,1,-0.0252758757594092,0.0284749213465619
9,C_ld_mumu22,1,-0.0367308462028841,0.0331615021150387
10,C_ed_mumu22,1,-0.0383773370562611,0.0311998084100315
11,C_lq_m_mumu22,1,-0.0331341201933406,0.0470426545517156
12,C_lu_mumu22,1,-0.0388061115537452,0.0445314277639198
13,C_eu_mumu22,1,-0.0355507033864171,0.0463733521709198
14,C_lq_p_mumu33,1,-0.1792337617844074,0.1489569485426661
15,C_qe_33mumu,1,-0.1632587618047105,0.1700409354720551
16,C_ld_mumu33,1,-0.1702126063172117,0.1630638501888921
17,C_ed_mumu33,1,-0.1732417030588241,0.1591966220052602
18,C_lq_m_ee11,1,-0.001605620365316,0.0017393943136341
19,C_lq_p_ee11,1,-0.004780163455367,0.0038312695686715
20,C_qe_11ee,1,-0.0035248750986386,0.0063098957062972
21,C_lu_ee11,1,-0.0031577403128563,0.0048445913722273
22,C_eu_ee11,1,-0.0021280704401486,0.0024929211966703
23,C_ld_ee11,1,-0.0120259177832753,0.007895661703695
24,C_ed_ee11,1,-0.012088669707306,0.006589383192135
25,C_lq_p_ee22,1,-0.0405497275636621,0.026689311907923
26,C_qe_22ee,1,-0.0259296712096119,0.029445938762212
27,C_ld_ee22,1,-0.0379093321229518,0.0339682315003893
28,C_ed_ee22,1,-0.0396519830237903,0.0321483971726071
29,C_lq_m_ee22,1,-0.0340831778739275,0.0491627510999678
30,C_lu_ee22,1,-0.0399713388157038,0.046130726459492
31,C_eu_ee22,1,-0.0365767200712591,0.0482578090694981
32,C_lq_p_ee33,1,-0.1853195033793753,0.1533060546932386
33,C_qe_33ee,1,-0.1677966815538001,0.1749681688906376
34,C_ld_ee33,1,-0.1751233589655234,0.1676224731405693
35,C_ed_ee33,1,-0.1784107879214864,0.1636494495664218
