coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0047065403791931,0.0035674947059352
1,C_lq_m_ll11,1,-0.0013554201351157,0.0014750891540409
2,C_lu_ll11,1,-0.004305492211358,0.0040036531383536
3,C_eu_ll11,1,-0.001790332791386,0.0021322189210322
4,C_qe_11ll,1,-0.0047647363616541,0.0044810210213812
5,C_ld_ll11,1,-0.0097942710336017,0.0095490982625404
6,C_ed_ll11,1,-0.011049119367417,0.0059300964340755
7,C_lq_p_ll22,1,-0.0329470496373543,0.0279634950169974
8,C_lq_m_ll22,1,-0.0359317903090913,0.0403635139036096
9,C_lu_ll22,1,-0.0388241267467287,0.0405948191746562
10,C_eu_ll22,1,-0.0372731472377719,0.0406695110156601
11,C_qe_22ll,1,-0.0270098518630963,0.0268690702471325
12,C_ld_ll22,1,-0.0359232270927958,0.0367855851643705
13,C_ed_ll22,1,-0.0338946476659649,0.0312876030762012
14,C_lq_p_ll33,1,-0.1713207300602545,0.1648614334189346
15,C_qe_33ll,1,-0.1742012925532333,0.1755625726150769
16,C_ld_ll33,1,-0.1757005240694228,0.1740295379420279
17,C_ed_ll33,1,-0.1753770991895069,0.1722006956381758
