coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0028779914956472,0.002420681053842
1,C_lq_m_ll11,1,-0.0009760054649158,0.0010248505633562
2,C_lu_ll11,1,-0.0018372672967911,0.0024642794927789
3,C_eu_ll11,1,-0.0013063012566382,0.001447191942831
4,C_qe_11ll,1,-0.002173145227498,0.0044911487765098
5,C_ld_ll11,1,-0.0094791920243143,0.005211854682928
6,C_ed_ll11,1,-0.0098052447617823,0.0043668214864107
7,C_lq_p_ll22,1,-0.0336036473463475,0.0189551962225576
8,C_lq_m_ll22,1,-0.0234527561590152,0.0397004529110316
9,C_lu_ll22,1,-0.0287935109578897,0.0353593966421907
10,C_eu_ll22,1,-0.0256323322374802,0.0381498550052667
11,C_qe_22ll,1,-0.0185721956598897,0.0221807696780554
12,C_ld_ll22,1,-0.0282277498386066,0.0243130411543376
13,C_ed_ll22,1,-0.0308281761628351,0.0233376611314036
14,C_lq_p_ll33,1,-0.1386658655271641,0.1169514812756481
15,C_qe_33ll,1,-0.1266089224187219,0.1314601243499923
16,C_ld_ll33,1,-0.1315447333357522,0.126518147781699
17,C_ed_ll33,1,-0.1337899296361602,0.1238485480524651
