coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0019053771941268,0.0017579773178509
1,C_lq_m_ll11,1,-0.0007591183080808,0.0007779161988057
2,C_lu_ll11,1,-0.0018827426752752,0.0024304194519683
3,C_eu_ll11,1,-0.0010250230501498,0.001084419617283
4,C_qe_11ll,1,-0.0021852206102287,0.0040907817232643
5,C_ld_ll11,1,-0.0094779962016399,0.0050891474381839
6,C_ed_ll11,1,-0.0054078818059211,0.0034389113064958
7,C_lq_p_ll22,1,-0.0268551958928525,0.0147038978542427
8,C_lq_m_ll22,1,-0.0204471917865186,0.0366775594030681
9,C_lu_ll22,1,-0.0272045493118508,0.0351521839090703
10,C_eu_ll22,1,-0.0231309734820231,0.0371465027396846
11,C_qe_22ll,1,-0.0176060872160814,0.0222707507539585
12,C_ld_ll22,1,-0.0285239559635072,0.0232311267477813
13,C_ed_ll22,1,-0.0298802086743045,0.0203265373433047
14,C_lq_p_ll33,1,-0.1303000330477416,0.0943096974887039
15,C_qe_33ll,1,-0.1098895086694318,0.1181441818516485
16,C_ld_ll33,1,-0.1183340327054051,0.1096935261327745
17,C_ed_ll33,1,-0.1222267552285542,0.1052884870678349
