coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0058102098375854,0.005088024213557
1,C_lq_m_ll11,1,-0.0023612972858778,0.0024563700611433
2,C_lu_ll11,1,-0.0054946729225151,0.0067740058386749
3,C_eu_ll11,1,-0.0031730792107477,0.0034092811461407
4,C_qe_11ll,1,-0.0058006356104614,0.0075824592708401
5,C_ld_ll11,1,-0.015562827362596,0.0119043899925466
6,C_ed_ll11,1,-0.013238833115487,0.0091412407057977
7,C_lq_p_ll22,1,-0.0500127445681287,0.0389365950724235
8,C_lq_m_ll22,1,-0.0497834305409955,0.056987928989663
9,C_lu_ll22,1,-0.0546118088486518,0.0575669641442344
10,C_eu_ll22,1,-0.0520293721182488,0.0576247313120262
11,C_qe_22ll,1,-0.0366592348169089,0.0391295311424611
12,C_ld_ll22,1,-0.0519328021276297,0.0484479451621557
13,C_ed_ll22,1,-0.0517787884594731,0.0456047576078852
14,C_lq_p_ll33,1,-0.1985640817236768,0.1801374649191629
15,C_qe_33ll,1,-0.1902671006189266,0.1944395460569888
16,C_ld_ll33,1,-0.1944959935812213,0.190195076586574
17,C_ed_ll33,1,-0.1961189607183795,0.1876278076738894
