coeff_index,coeff_name,n_intervals95,interval1_lower95,interval1_upper95
0,C_lq_p_ll11,1,-0.0063606941796356,0.0054354176439297
1,C_lq_m_ll11,1,-0.0025202056488351,0.0026495480809933
2,C_lu_ll11,1,-0.005726915754544,0.0072845112186858
3,C_eu_ll11,1,-0.0033710434750005,0.0036892146630716
4,C_qe_11ll,1,-0.0059645554303992,0.007883740013254
5,C_ld_ll11,1,-0.0158782497087043,0.012188107682415
6,C_ed_ll11,1,-0.0140747502872277,0.0095289851108856
7,C_lq_p_ll22,1,-0.052042312884517,0.0405114701216744
8,C_lq_m_ll22,1,-0.0505790785998051,0.0581045867463617
9,C_lu_ll22,1,-0.0548943726576359,0.0578908493321298
10,C_eu_ll22,1,-0.0525630761571026,0.0583119272240244
11,C_qe_22ll,1,-0.0368848235373841,0.0392736890023652
12,C_ld_ll22,1,-0.0522122758235374,0.0488696006337346
13,C_ed_ll22,1,-0.0522222093835876,0.046245300255008
14,C_lq_p_ll33,1,-0.2077263785485351,0.1881627188544855
15,C_qe_33ll,1,-0.1971098820378091,0.2014264338008312
16,C_ld_ll33,1,-0.2015134853194847,0.1970138602510218
17,C_ed_ll33,1,-0.2034995630283131,0.1946143255379145
